name,title,category,slug,bio_len,photo,social
謝忠高 Peter Hsieh,General Partner of Acorn Pacific Ventures,vc,archived-peter-hsieh,954,7822,www.linkedin.com/in/peter-hsieh-9165a
陳嫦芬 Felice Chen,"台灣大學管理學院財金系兼任教授 Adjunct Professor, Finance Department, College of Management, National Taiwan University",vc,archived-felice-chen,364,17390,
王帛霞 Janice Wang,台灣大學電機系兼任教授 / 神基投控 獨立董事,expert,archived-janice-wang,466,19000,
郭大經 Ryan Kuo,中華開發創新加速股份有限公司 總經理,vc,archived-ryan-kuo,152,4026,
黃彗真 Jane Huang,前外商人資長,exec,archived-jane-huang,432,6332,
王琍瑩 Liying Wang,明日科技法律事務所 / 主持律師 Next and Nexus Law Office / Founding Attorney,vc,archived-liying-wang,411,17740,https://www.linkedin.com/in/liying-wang-054280143/
駱國綸 KL,前波士頓咨詢公司 合夥人,vc,archived-kl,105,18995,
楊家彥 Steven Yang,樹冠影響力投資創辦人 / 執行長,vc,archived-steven-yang,147,18996,
劉永信 Spencer Liu,CloudMile 萬里雲創辦人暨執行長 (CloudMile Founder &amp; CEO),founder,archived-spencer-liu,173,18997,https://www.linkedin.com/in/spencer-liu-06729222/
吳昇奇 Gary,Samsung Taiwan商業顧問,expert,archived-gary,177,18998,
郭家齊 Andy Kuo,創業家兄弟股份有限公司 共同創辦人&amp;總經理,founder,archived-andy-kuo,80,3151,
葉丙成 Benson Yeh,國立臺灣大學電機工程學系教授 (Professor of EE Dept. at National Taiwan University),expert,archived-benson-yeh,566,6573,
詹益鑑 IC Jan,Taiwan Global Angels 創辦人,vc,archived-ic-jan,178,3162,
羅台青 Josephine Lo,台灣雀巢董事長兼總經理,exec,archived-josephine-lo,77,6728,
王俞又,500 Startups 創業合夥人及臺灣區負責人,vc,archived-mentor-15,198,3169,
李如虹 Joyce Lee,瑞典商BTS顧問公司 資深培訓顧問,expert,archived-joyce-lee,355,6337,
黃怡佳 Nancy Huang,品牌＆新創顧問,expert,archived-nancy-huang,105,3159,
楊光磊 Konrad Young,逢甲大學創能學院講座教授／台灣大學領導學程兼任教授／政治大學 IMBA 兼任教授／英特爾資深顧問／LeadBest Consulting Group 資深顧問／LeadAgilex 產業賦能加速平台合夥創辦人／商業思維學院 Mentor,vc,archived-konrad-young,271,9334,https://www.linkedin.com/in/konrad-young-340a8b91/
陳仲竹 CC Chen,萊鎂醫療器材股份有限公司 董事長暨執行長,exec,archived-cc-chen,393,6158,https://www.linkedin.com/in/chungchu/
何英圻 Steven Ho,91APP創辦人暨董事長 / TiEA 台灣網路暨電子商務產業發展協會理事長,founder,archived-steven-ho,149,14961,
張佳欽,台大管理學院 Global MBA 兼任教授,expert,archived-mentor-21,159,3150,
鄭涵睿 Harris Cheng,綠藤共同創辦人暨執行長,founder,archived-harris-cheng,223,15600,
蘇柏州 Kenny Su,Kdan Mobile 創辦人兼董事長,vc,archived-kenny-su,248,15277,https://www.linkedin.com/in/kenny-su/
陳克錡 Frank Chen,世平集團執行長室顧問,expert,archived-frank-chen,127,3154,http://linkedin.com/in/frank-ko-chi-chen-68696311
張鴻文 Howard Chang,企業顧問,expert,archived-howard-chang,99,4093,
范炘 Thomas Fann,跨國公司高管,exec,archived-thomas-fann,211,3149,
陳識仁,匯智資本有限公司 創辦人,vc,archived-mentor-27,113,3155,
金麗英 Joset King,已退休,exec,archived-joset-king,92,3999,
陳之逵 Allen Chen,資誠創新諮詢公司 副總經理,exec,archived-allen-chen,189,4306,
蔡恩全 Davis Tsai,寶成國際集團 顧問,expert,archived-davis-tsai,190,4330,
謝泰詠 DWAYNE SYE,"Founder, The Sye Fund",vc,archived-dwayne-sye,161,4668,https://www.linkedin.com/in/dwaynesye/
連祥一 Sean Lien,"Google 亞洲區用戶及產品事業群 董事總經理 Managing Director, gTech Users and Products, APAC",exec,archived-sean-lien,289,6285,
洪福利 Felix Hong,"VP Engineering, Botrista Technology / 500 Global mentor／關鍵評論網投資人／Hardware Club 投資人",vc,archived-felix-hong,151,6416,https://www.linkedin.com/in/fehong/
